1	704639
2	701836
3	710582
4	709436
5	706192
6	709436
7	709844
8	707031
9	709436
10	703083
11	709436
12	703303
13	703083
14	704093
15	701318
16	707031
17	700529
18	707031
19	711889
20	705030
21	709436
22	700098
23	707031
24	710566
25	706192
26	705322
27	705030
28	709436
29	713071
30	707031
31	705373
32	709436
33	706192
34	703104
35	713642
36	707031
37	703104
38	713642
39	707031
40	709725
41	709436
42	706192
43	709436
44	713642
45	709803
46	707097
47	707031
48	703640
49	709436
50	706192
51	700902
52	708768
53	709436
54	713642
55	707031
56	700902
57	708768
58	709436
59	711889
60	707031
61	707084
62	709436
63	706192
64	709436
65	713642
66	705984
67	707031
68	709436
69	711889
70	707084
71	709386
72	707031
73	703104
74	705500
75	707031
76	703104
77	711021
78	705984
79	704106
80	707031
81	705373
82	709436
83	706192
84	703104
85	712077
86	704639
87	708768
88	709436
89	713071
90	707031
91	704093
92	703640
93	700902
94	708768
95	713071
96	707031
97	713071
98	707031
99	703104
100	709859
101	707031
102	710582
103	709436
104	706192
105	709436
106	712077
107	707031
108	703640
109	709436
110	706192
111	700902
112	708768
113	709436
114	713071
115	709781
116	704093
117	713204
118	709436
119	712077
120	707031
121	700902
122	708768
123	709436
124	713071
125	709436
126	705030
127	709436
128	712077
129	707031
130	707084
131	709436
132	706192
133	709436
134	712077
135	709844
136	707031
137	709725
138	709436
139	706192
140	709803
141	707097
142	707031
143	703104
144	705500
145	707031
146	703104
147	711021
148	705984
149	703389
150	707031
151	705373
152	709436
153	706192
154	712375
155	709436
156	713071
157	709436
158	713204
159	709436
160	709844
161	704105
162	712376
163	704106
164	707031
165	709725
166	709436
167	709421
168	707031
169	703104
170	709859
171	707031
172	712375
173	709436
174	713071
175	709436
176	713204
177	709436
178	709844
179	704105
180	709436
181	712376
182	702165
183	707031
184	709725
185	709436
186	709421
187	707031
188	707084
189	709436
190	706192
191	709436
192	709421
193	703083
194	707031
195	709436
196	712560
197	709436
198	713071
199	707084
200	706069
201	707031
202	709725
203	709436
204	706192
205	709803
206	707097
207	707031
208	705373
209	709436
210	706192
211	702733
212	709436
213	703083
214	702772
215	713923
216	712006
217	712008
218	707200
219	703057
220	707031
221	707200
222	709627
223	707031
224	709427
225	707167
226	710582
227	707169
228	709806
229	709436
230	712008
231	702165
232	704639
233	702165
234	707200
235	703057
236	705080
237	709436
238	703083
239	707031
240	703104
241	709859
242	707031
243	704356
244	709436
245	703083
246	702772
247	713923
248	712006
249	712008
250	707200
251	703057
252	707031
253	707200
254	709627
255	707031
256	709427
257	707167
258	710582
259	707169
260	709806
261	709436
262	712008
263	702165
264	704639
265	702165
266	707200
267	703057
268	705080
269	709436
270	703083
271	707031
272	709725
273	709436
274	706192
275	709803
276	707097
277	707031
278	703104
279	705500
280	707031
281	703104
282	711021
283	705984
284	712968
285	707031
286	705373
287	709436
288	706192
289	703104
290	713643
291	704639
292	709436
293	712077
294	709436
295	709844
296	704105
297	713400
298	709436
299	703083
300	709436
301	703640
302	700902
303	708768
304	709436
305	705984
306	707031
307	700902
308	708768
309	709436
310	709386
311	707031
312	704093
313	704105
314	711748
315	707031
316	704105
317	707047
318	707031
319	704105
320	705984
321	707031
322	704105
323	704745
324	707031
325	704093
326	704105
327	713400
328	704639
329	709436
330	712077
331	709436
332	709844
333	714164
