identifier	file	bytes
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol1-03-Leviticus_djvu.txt	1565768
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol1-04-Numbers_djvu.txt	2004100
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol1-05-Deuteronomy_djvu.txt	2231157
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol1-06-Adenda_Et_Emendanda_In_Tomo_I_djvu.txt	173012
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-01-Introduction_djvu.txt	20806
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-02-Joshua_djvu.txt	1862047
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-03-Judges_djvu.txt	2046094
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-04-Ruth_djvu.txt	257830
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-05-1Kings_djvu.txt	1907279
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-06-2Kings_djvu.txt	1451118
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-07-3Kings_djvu.txt	1606286
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-08-4Kings_djvu.txt	1440969
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-09-1Chronicles_djvu.txt	1108762
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-10-2Chronicles_djvu.txt	1020585
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol2-11-Appendix_djvu.txt	74262
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-01-Ezdra_djvu.txt	322704
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-02-Nehemiah_djvu.txt	444610
