158	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
159	E70040	advb	thus
160	E70008	conj	and
161	E70027	verb.qal.wayq.p3.m.sg	[he]+ call
162	E70004	subs.m.pl.a	god [pl.]
163	E70028	prep	to
164	E70006	art	the
165	E70045	subs.f.sg.a	dry land
166	E70009	subs.u.sg.a	earth
167	E70008	conj	and
168	E70028	prep	to
169	E70046	subs.m.sg.c	collection
170	E70006	art	the
171	E70019	subs.m.pl.a	water
172	E70027	verb.qal.perf.p3.m.sg	[he]+ call
173	E70047	subs.m.pl.a	sea
174	E70008	conj	and
175	E70022	verb.qal.wayq.p3.m.sg	[he]+ see
176	E70004	subs.m.pl.a	god [pl.]
177	E70023	conj	that
178	E70024	verb.qal.perf.p3.m.sg	[he]+ be good
179	E70008	conj	and
180	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
181	E70004	subs.m.pl.a	god [pl.]
182	E70048	verb.hif.impf.p3.f.sg	[she]+ grow green
183	E70006	art	the
184	E70009	subs.u.sg.a	earth
185	E70049	subs.m.sg.a	young grass
186	E70050	subs.m.sg.a	herb
187	E70051	verb.hif.ptca.u.m.sg.a	sow
188	E70052	subs.m.sg.a	seed
189	E70053	subs.m.sg.c	tree
190	E70054	subs.m.sg.a	fruit
191	E70036	verb.qal.ptca.u.m.sg.a	make
192	E70054	subs.m.sg.a	fruit
193	E70028	prep	to
194	E70055	subs.m.sg.a＊.prs.p3.m.sg	+[his] kind
195	E70037	conj	[relative]
196	E70052	subs.m.sg.a＊.prs.p3.m.sg	+[his] seed
197	E70001	prep＊.prs.p3.m.sg	in +[him]
198	E70014	prep	upon
199	E70006	art	the
200	E70009	subs.u.sg.a	earth
201	E70008	conj	and
202	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
203	E70040	advb	thus
204	E70008	conj	and
205	E70056	verb.hif.wayq.p3.f.sg	[she]+ go out
206	E70006	art	the
207	E70009	subs.u.sg.a	earth
208	E70049	subs.m.sg.a	young grass
209	E70050	subs.m.sg.a	herb
210	E70051	verb.hif.ptca.u.m.sg.a	sow
211	E70052	subs.m.sg.a	seed
212	E70028	prep	to
213	E70055	subs.m.sg.a＊.prs.p3.m.sg	+[his] kind
214	E70008	conj	and
215	E70053	subs.m.sg.a	tree
216	E70036	verb.qal.ptca.u.m.sg.a	make
217	E70054	subs.m.sg.a	fruit
218	E70037	conj	[relative]
219	E70052	subs.m.sg.a＊.prs.p3.m.sg	+[his] seed
220	E70001	prep＊.prs.p3.m.sg	in +[him]
221	E70028	prep	to
222	E70055	subs.m.sg.a＊.prs.p3.m.sg	+[his] kind
223	E70008	conj	and
224	E70022	verb.qal.wayq.p3.m.sg	[he]+ see
225	E70004	subs.m.pl.a	god [pl.]
226	E70023	conj	that
227	E70024	verb.qal.perf.p3.m.sg	[he]+ be good
228	E70008	conj	and
229	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
230	E70031	subs.m.sg.a	evening
231	E70008	conj	and
232	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
233	E70032	subs.m.sg.a	morning
234	E70029	subs.m.sg.a	day
235	E70057	adjv.m.sg.a	third
236	E70008	conj	and
237	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
238	E70004	subs.m.pl.a	god [pl.]
239	E70010	verb.qal.impf.p3.m.sg	[he]+ be
240	E70058	subs.m.pl.a	lamp
241	E70001	prep	in
242	E70034	subs.m.sg.c	firmament
243	E70006	art	the
244	E70007	subs.m.pl.a	heavens
245	E70028	prep	to
246	E70025	verb.hif.infc.u.u.u.a	separate
247	E70026	prep.m.sg.c	interval
248	E70006	art	the
249	E70029	subs.m.sg.a	day
250	E70008	conj	and
251	E70026	prep.m.sg.c	interval
252	E70006	art	the
253	E70030	subs.m.sg.a	night
254	E70008	conj	and
255	E70010	verb.qal.perf.p3.u.pl	[they]+ be
256	E70028	prep	to
257	E70059	subs.f.pl.a	sign
258	E70008	conj	and
259	E70028	prep	to
260	E70060	subs.m.pl.a	appointment
261	E70008	conj	and
262	E70028	prep	to
263	E70029	subs.m.pl.a	day
264	E70008	conj	and
265	E70061	subs.f.pl.a	year
266	E70008	conj	and
267	E70010	verb.qal.perf.p3.u.pl	[they]+ be
268	E70028	prep	to
269	E70058	subs.m.pl.a	lamp
270	E70001	prep	in
271	E70034	subs.m.sg.c	firmament
272	E70006	art	the
273	E70007	subs.m.pl.a	heavens
274	E70028	prep	to
275	E70062	verb.hif.infc.u.u.u.a	be light
276	E70014	prep	upon
277	E70006	art	the
278	E70009	subs.u.sg.a	earth
279	E70008	conj	and
280	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
281	E70040	advb	thus
282	E70008	conj	and
