G700011	<a href='S:Αβαισαν'><font color='3'><b>Αβαισαν</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abaisan</font>; <font color='5'>avesan</font><br><font color='1'><b>Abaisan; Avesan</b></font><hr><grk><a href='S:Αβαισαν'><font color='0'>Αβαισαν</font></a></grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>	Αβαισαν	abaisan	avesan	Abaisan; Avesan
G700012	<a href='S:αβακ'><font color='3'><b>αβακ</b></font></a> [<font color='4'>N</font>] <i>Noun</i><br><font color='5'>abak</font>; <font color='5'>avak</font><br><font color='1'><b>byssus; fine white linen</b></font><hr><grk><a href='S:αβακ'><font color='0'>αβακ</font></a></grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>	αβακ	abak	avak	byssus; fine white linen
G700013	<a href='S:Αβαλ'><font color='3'><b>Αβαλ</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abal</font>; <font color='5'>aval</font><br><font color='1'><b>Abal; Aval</b></font><hr><grk><a href='S:Αβαλ'><font color='0'>Αβαλ</font></a></grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>	Αβαλ	abal	aval	Abal; Aval
G700014	<a href='S:Αβαμα'><font color='3'><b>Αβαμα</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abama</font>; <font color='5'>avama</font><br><font color='1'><b>Abama; Avama</b></font><hr><grk><a href='S:Αβαμα'><font color='0'>Αβαμα</font></a></grk>｜<font color='4'>N.AS</font>｜<i>noun, Acc Sing</i><br><grk><a href='S:Αβαμα'><font color='0'>Αβαμα</font></a></grk>｜<font color='4'>N.NS</font>｜<i>noun, Nom Sing</i>	Αβαμα	abama	avama	Abama; Avama
G700015	<a href='S:Αβανα'><font color='3'><b>Αβανα</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abana</font>; <font color='5'>avana</font><br><font color='1'><b>Abana; Avana</b></font><hr><grk><a href='S:Αβανα'><font color='0'>Αβανα</font></a></grk>｜<font color='4'>N.NSF</font>｜<i>noun, Nom Sing Fem</i>	Αβανα	abana	avana	Abana; Avana
G700016	<a href='S:Αβαρ'><font color='3'><b>Αβαρ</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abar</font>; <font color='5'>avar</font><br><font color='1'><b>Abar; Avar</b></font><hr><grk><a href='S:Αβαρ'><font color='0'>Αβαρ</font></a></grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>	Αβαρ	abar	avar	Abar; Avar
G700017	<a href='S:Αβαραν'><font color='3'><b>Αβαραν</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abaran</font>; <font color='5'>avaran</font><br><font color='1'><b>Abaran; Avaran</b></font><hr><grk><a href='S:Αβαραν'><font color='0'>Αβαραν</font></a></grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i>	Αβαραν	abaran	avaran	Abaran; Avaran
G700018	<a href='S:Αβαριμ'><font color='3'><b>Αβαριμ</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abarim</font>; <font color='5'>avariym</font><br><font color='1'><b>Abarim; Avarim</b></font><hr><grk><a href='S:Αβαριμ'><font color='0'>Αβαριμ</font></a></grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>	Αβαριμ	abarim	avariym	Abarim; Avarim
G700019	<a href='S:Αβαριν'><font color='3'><b>Αβαριν</b></font></a> [<font color='4'>Np</font>] <i>Proper Noun</i><br><font color='5'>abarin</font>; <font color='5'>avariyn</font><br><font color='1'><b>Abarin; Avarin</b></font><hr><grk><a href='S:Αβαριν'><font color='0'>Αβαριν</font></a></grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>	Αβαριν	abarin	avariyn	Abarin; Avarin
G700020	<a href='S:αβαρκηνιν'><font color='3'><b>αβαρκηνιν</b></font></a> [<font color='4'>N</font>] <i>Noun</i><br><font color='5'>abarkēnin</font>; <font color='5'>avarkiyniyn</font><br><font color='1'><b>he thorn bushes</b></font><hr><grk><a href='S:αβαρκηνιν'><font color='0'>αβαρκηνιν</font></a></grk>｜<font color='4'>N.DPF</font>｜<i>noun, Dat Plur Fem</i>	αβαρκηνιν	abarkēnin	avarkiyniyn	he thorn bushes
