L700023	ἄβατος	abatos [avatos]	A [Adjective]	untrodden; impassable	<i>LSJ: </i>a)/batos<hr><grk>ἀβάτοις</grk>｜<font color='4'>A.DPN</font>｜<i>adjective, Dat Plur Neut</i><br><grk>ἄβατον</grk>｜<font color='4'>A.ASF</font>｜<i>adjective, Acc Sing Fem</i><br><grk>ἄβατον</grk>｜<font color='4'>A.ASM</font>｜<i>adjective, Acc Sing Masc</i><br><grk>ἄβατος</grk>｜<font color='4'>A.NSF</font>｜<i>adjective, Nom Sing Fem</i><br><grk>ἄβατος</grk>｜<font color='4'>A.NSM</font>｜<i>adjective, Nom Sing Masc</i><br><grk>ἄβατός</grk>｜<font color='4'>A.NSM</font>｜<i>adjective, Nom Sing Masc</i><br><grk>ἀβάτους</grk>｜<font color='4'>A.APF</font>｜<i>adjective, Acc Plur Fem</i><br><grk>ἀβάτῳ</grk>｜<font color='4'>A.DSF</font>｜<i>adjective, Dat Sing Fem</i><br><grk>ἀβάτῳ</grk>｜<font color='4'>A.DSM</font>｜<i>adjective, Dat Sing Masc</i>
L700024	ἀβατόω	abatoō [avatoo]	V [Verbs]	untrodden; inaccessible	<grk>ἀβατωθῇ</grk>｜<font color='4'>V.APS3S</font>｜<i>verb, Aor Pass Subj 3rd Sing</i>
L700025	Ἀββᾶ	abba [avva]	Np [Proper Noun]	Abba; Avva	<a href='S:G5'><grk>Ἀββᾶ</grk></a>; <big>אַב</big>&#x200E;; <i>LSJ: </i>*)abba=<hr><grk>Αββα</grk>｜<font color='4'>N.NSF</font>｜<i>noun, Nom Sing Fem</i>
L700026	Αβδεδομ	abdedom [avðeðom]	Np [Proper Noun]	Abdedom; Avthethom	<grk>Αβδεδομ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβδεδομ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβδεδομ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700027	Αβδεμελεχ	abdemelech [avðemelekh]	Np [Proper Noun]	Abdemelech; Avthemelekh	<grk>Αβδεμελεχ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβδεμελεχ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβδεμελεχ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700028	Αβδεναγω	abdenagō [avðenago]	Np [Proper Noun]	Abdenagō; Avthenago	<grk>Αβδεναγω</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβδεναγω</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβδεναγω</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβδεναγω</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Αβδεναγω</grk>｜<font color='4'>N.VSM</font>｜<i>noun, Voc Sing Masc</i>
L700029	Αβδησελμα	abdēselma [avðiyselma]	Np [Proper Noun]	Abdēselma; Avthiselma	<grk>Αβδησελμα</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
L700030	Αβδι	abdi [avðiy]	Np [Proper Noun]	Abdi; Avthi	<grk>Αβδι</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβδι</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700031	Αβδια	abdia [avðiya]	Np [Proper Noun]	Abdia; Avthia	<grk>Αβδια</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Αβδιαν</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
L700032	Αβδιας	abdias [avðiyas]	Np [Proper Noun]	Abdias; Avthias	<grk>Αβδιας</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Αβδιου</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
