mappingSort	KJVverseID	WLCsort	BHSsort
347	27	614	551
348	28	625	553
349	28	626	554
350	28	627	555
351	28	628	557
352	28	630	559
353	28	631	560
354	28	632	562
355	28	633	564
356	28	634	565
357	28	635	567
358	28	636	569
359	28	637	571
360	28	638	573
361	28	639	575
362	28	640	578
363	28	641	580
364	28	642	583
365	28	643	584
366	28	644	586
367	28	645	587
368	28	646	589
369	29	657	591
370	29	658	592
371	29	659	593
372	29	660	594
373	29	662	596
374	29	663	597
375	29	664	598
376	29	665	599
377	29	666	600
378	29	667	601
379	29	668	602
380	29	669	603
381	29	670	604
382	29	671	606
383	29	672	608
384	29	673	609
385	29	674	611
386	29	675	612
387	29	677	614
388	29	678	615
389	29	679	616
390	29	680	617
391	29	682	619
392	29	683	621
393	30	694	624
394	30	695	625
395	30	696	627
396	30	697	630
397	30	698	631
398	30	699	633
399	30	700	636
400	30	701	637
401	30	702	638
402	30	703	640
403	30	704	641
404	30	706	643
405	30	707	644
406	30	708	645
407	30	709	646
408	30	710	647
409	30	711	648
410	30	712	650
411	30	713	652
412	30	714	653
413	31	725	655
414	31	726	656
415	31	727	657
416	31	728	658
417	31	729	659
418	31	730	660
419	31	731	662
420	31	732	663
421	31	733	664
422	31	734	666
423	31	735	667
424	31	736	669
425	31	737	670
426	31	738	671
427	31	739	673
428	32	751	675
429	32	752	677
430	32	753	680
431	32	754	682
432	32	755	683
433	33	766	685
434	33	767	686
435	33	768	689
436	33	769	691
437	33	770	692
438	33	771	693
439	33	772	694
440	33	773	696
441	33	774	699
442	33	775	701
443	33	776	703
444	33	777	704
445	33	778	705
446	33	779	706
447	34	790	708
448	34	791	709
449	34	792	710
450	34	793	711
451	34	794	713
452	34	795	715
453	34	796	716
454	34	797	717
455	34	799	719
456	34	800	721
457	34	801	722
458	34	802	723
459	34	803	724
460	34	804	725
461	34	805	727
462	35	817	728
463	35	818	729
464	35	819	731
465	35	820	734
466	35	821	736
467	35	822	738
468	35	823	739
469	35	824	740
470	35	825	741
471	35	826	742
472	35	827	744
473	36	838	746
474	36	839	747
475	36	840	749
476	36	841	750
477	36	842	751
478	36	843	754
479	36	844	756
480	36	845	757
481	36	846	759
482	36	847	760
483	36	848	761
484	36	849	762
485	36	850	763
486	36	851	764
487	36	852	765
488	36	853	766
489	36	854	767
490	36	855	769
491	36	856	771
492	36	857	772
493	36	858	774
494	36	859	775
495	36	860	777
496	37	871	779
497	37	872	780
498	37	874	783
499	37	875	785
500	37	876	786
501	37	877	787
502	37	878	788
503	37	879	790
504	38	890	792
505	38	891	793
506	38	892	794
507	38	893	795
508	38	894	797
509	38	895	798
510	38	897	801
511	38	898	803
512	38	899	805
513	38	900	806
514	38	901	807
515	38	902	809
516	38	903	811
517	38	904	813
518	38	905	814
519	39	916	816
520	39	917	817
521	39	918	818
522	39	919	819
523	39	920	821
524	39	921	823
525	39	922	825
526	39	923	826
527	39	924	827
528	39	925	829
529	39	926	830
530	39	927	831
531	40	938	833
532	40	939	834
533	40	940	835
534	40	942	838
535	40	943	839
536	40	944	840
537	40	945	841
538	40	946	843
539	40	947	845
540	40	948	847
541	40	949	849
542	40	950	851
543	40	951	853
544	40	952	855
545	40	953	857
546	40	954	859
547	40	955	860
548	40	956	862
549	41	967	864
550	41	968	865
551	41	969	867
552	41	970	869
553	41	971	870
554	41	972	872
555	41	973	875
556	41	974	876
557	41	975	878
558	41	976	880
559	41	977	881
560	42	988	882
561	42	989	884
562	42	990	885
563	42	991	886
564	42	992	888
565	42	993	889
566	42	994	890
567	42	995	891
568	42	996	893
569	42	997	894
570	42	998	895
571	42	999	897
572	43	1010	899
573	43	1011	901
574	43	1012	903
575	43	1013	904
576	43	1014	905
577	43	1015	907
578	43	1016	909
579	43	1017	911
580	44	1028	913
581	44	1029	915
582	44	1030	917
583	44	1031	918
584	44	1032	919
585	44	1033	921
586	44	1034	922
587	44	1035	923
588	44	1036	924
589	44	1037	925
590	45	1048	927
591	45	1049	929
592	45	1050	931
593	45	1051	932
594	45	1052	933
595	45	1053	935
596	45	1054	936
597	45	1055	937
598	45	1056	940
599	45	1057	942
600	45	1058	943
601	45	1059	944
602	46	1070	946
603	46	1071	947
604	46	1072	948
605	46	1073	949
606	46	1074	951
607	46	1075	953
608	46	1076	955
609	46	1077	956
610	46	1078	958
611	46	1079	961
612	47	1090	963
613	47	1091	964
614	47	1092	965
615	47	1093	966
616	47	1094	968
617	47	1095	970
618	47	1096	972
619	47	1097	973
620	47	1098	975
621	47	1099	976
622	47	1100	977
623	48	1111	980
624	48	1112	982
625	48	1113	983
626	48	1114	985
627	48	1115	986
628	48	1116	987
629	48	1118	989
630	48	1119	991
631	48	1120	992
632	48	1122	994
633	48	1123	995
634	49	1134	997
635	49	1135	998
636	49	1136	999
637	49	1137	1000
638	49	1138	1001
