Verse	WLCsort	WLC	clauseID
12	257	פְּרִ֛י	c48
12	258	אֲשֶׁ֥ר	c49
12	259	זַרְעוֹ־	c49
12	260	ב֖וֹ	
12	261	לְמִינֵ֑הוּ	c50
12	262	וַיַּ֥רְא	c51
12	263	אֱלֹהִ֖ים	c51
12	264	כִּי־	c52
12	265	טֽוֹב׃	c52
13	276	וַֽיְהִי־	c53
13	277	עֶ֥רֶב	c53
13	278	וַֽיְהִי־	c54
13	279	בֹ֖קֶר	c54
13	280	י֥וֹם	c55
13	281	שְׁלִישִֽׁי׃	c55
13	282	פ	
14	293	וַיֹּ֣אמֶר	c56
14	294	אֱלֹהִ֗ים	c56
14	295	יְהִ֤י	c57
14	296	מְאֹרֹת֙	c57
14	297	בִּרְקִ֣יעַ	c57
14	298	הַשָּׁמַ֔יִם	c57
14	299	לְהַבְדִּ֕יל	c58
14	300	בֵּ֥ין	c58
14	301	הַיּ֖וֹם	c58
14	302	וּבֵ֣ין	c58
14	303	הַלָּ֑יְלָה	c58
14	304	וְהָי֤וּ	c59
14	305	לְאֹתֹת֙	c59
14	306	וּלְמ֣וֹעֲדִ֔ים	c59
14	307	וּלְיָמִ֖ים	c59
14	308	וְשָׁנִֽים׃	c59
15	319	וְהָי֤וּ	c60
15	320	לִמְאוֹרֹת֙	c60
15	321	בִּרְקִ֣יעַ	c60
15	322	הַשָּׁמַ֔יִם	c60
15	323	לְהָאִ֖יר	c61
15	324	עַל־	c61
15	325	הָאָ֑רֶץ	c61
15	326	וַֽיְהִי־	c62
15	327	כֵֽן׃	c62
16	338	וַיַּ֣עַשׂ	c63
16	339	אֱלֹהִ֔ים	c63
16	340	אֶת־	c63
16	341	שְׁנֵ֥י	c63
16	342	הַמְּאֹרֹ֖ת	c63
16	343	הַגְּדֹלִ֑ים	c63
16	344	אֶת־	c64
16	345	הַמָּא֤וֹר	c64
16	346	הַגָּדֹל֙	c64
16	347	לְמֶמְשֶׁ֣לֶת	c64
16	348	הַיּ֔וֹם	c64
16	349	וְאֶת־	c65
16	350	הַמָּא֤וֹר	c65
16	351	הַקָּטֹן֙	c65
16	352	לְמֶמְשֶׁ֣לֶת	c65
16	353	הַלַּ֔יְלָה	c65
16	354	וְאֵ֖ת	c66
16	355	הַכּוֹכָבִֽים׃	c66
17	366	וַיִּתֵּ֥ן	c67
17	367	אֹתָ֛ם	c67
17	368	אֱלֹהִ֖ים	c67
17	369	בִּרְקִ֣יעַ	c67
17	370	הַשָּׁמָ֑יִם	c67
17	371	לְהָאִ֖יר	c68
17	372	עַל־	c68
17	373	הָאָֽרֶץ׃	c68
18	384	וְלִמְשֹׁל֙	c69
18	385	בַּיּ֣וֹם	c69
18	386	וּבַלַּ֔יְלָה	c69
18	387	וּֽלֲהַבְדִּ֔יל	c70
18	388	בֵּ֥ין	c70
18	389	הָא֖וֹר	c70
18	390	וּבֵ֣ין	c70
18	391	הַחֹ֑שֶׁךְ	c70
18	392	וַיַּ֥רְא	c71
18	393	אֱלֹהִ֖ים	c71
18	394	כִּי־	c72
18	395	טֽוֹב׃	c72
19	406	וַֽיְהִי־	c73
19	407	עֶ֥רֶב	c73
19	408	וַֽיְהִי־	c74
19	409	בֹ֖קֶר	c74
19	410	י֥וֹם	c75
19	411	רְבִיעִֽי׃	c75
19	412	פ	
20	423	וַיֹּ֣אמֶר	c76
20	424	אֱלֹהִ֔ים	c76
20	425	יִשְׁרְצ֣וּ	c77
20	426	הַמַּ֔יִם	c77
20	427	שֶׁ֖רֶץ	c77
20	428	נֶ֣פֶשׁ	c77
20	429	חַיָּ֑ה	c77
20	430	וְעוֹף֙	c78
20	431	יְעוֹפֵ֣ף	c78
20	432	עַל־	c78
20	433	הָאָ֔רֶץ	c78
20	434	עַל־	c78
20	435	פְּנֵ֖י	c78
20	436	רְקִ֥יעַ	c78
20	437	הַשָּׁמָֽיִם׃	c78
21	448	וַיִּבְרָ֣א	c79
21	449	אֱלֹהִ֔ים	c79
21	450	אֶת־	c79
21	451	הַתַּנִּינִ֖ם	c79
21	452	הַגְּדֹלִ֑ים	c79
21	453	וְאֵ֣ת	c79
21	454	כָּל־	c79
21	455	נֶ֣פֶשׁ	c79
21	456	הַֽחַיָּ֣ה ׀	c80
21	457	הָֽרֹמֶ֡שֶׂת	c81
21	458	אֲשֶׁר֩	c82
21	459	שָׁרְצ֨וּ	c82
21	460	הַמַּ֜יִם	c82
21	461	לְמִֽינֵהֶ֗ם	c83
21	462	וְאֵ֨ת	c84
21	463	כָּל־	c84
21	464	ע֤וֹף	c84
21	465	כָּנָף֙	c84
21	466	לְמִינֵ֔הוּ	c84
21	467	וַיַּ֥רְא	c85
21	468	אֱלֹהִ֖ים	c85
21	469	כִּי־	c86
21	470	טֽוֹב׃	c86
22	481	וַיְבָ֧רֶךְ	c87
22	482	אֹתָ֛ם	c87
22	483	אֱלֹהִ֖ים	c87
22	484	לֵאמֹ֑ר	c88
22	485	פְּר֣וּ	c89
22	486	וּרְב֗וּ	c90
22	487	וּמִלְא֤וּ	c91
22	488	אֶת־	c91
22	489	הַמַּ֙יִם֙	c91
22	490	בַּיַּמִּ֔ים	c91
22	491	וְהָע֖וֹף	c92
22	492	יִ֥רֶב	c92
22	493	בָּאָֽרֶץ׃	c92
23	504	וַֽיְהִי־	c93
23	505	עֶ֥רֶב	c93
23	506	וַֽיְהִי־	c94
23	507	בֹ֖קֶר	c94
23	508	י֥וֹם	c95
23	509	חֲמִישִֽׁי׃	c95
23	510	פ	
24	521	וַיֹּ֣אמֶר	c96
24	522	אֱלֹהִ֗ים	c96
24	523	תּוֹצֵ֨א	c97
24	524	הָאָ֜רֶץ	c97
24	525	נֶ֤פֶשׁ	c97
24	526	חַיָּה֙	c97
24	527	לְמִינָ֔הּ	c97
24	528	בְּהֵמָ֥ה	c98
24	529	וָרֶ֛מֶשׂ	c98
24	530	וְחַֽיְתוֹ־	c98
24	531	אֶ֖רֶץ	c98
24	532	לְמִינָ֑הּ	c98
24	533	וַֽיְהִי־	c99
24	534	כֵֽן׃	c99
25	545	וַיַּ֣עַשׂ	c100
25	546	אֱלֹהִים֩	c100
25	547	אֶת־	c100
25	548	חַיַּ֨ת	c100
25	549	הָאָ֜רֶץ	c100
25	550	לְמִינָ֗הּ	c100
25	551	וְאֶת־	c101
25	552	הַבְּהֵמָה֙	c101
25	553	לְמִינָ֔הּ	c101
25	554	וְאֵ֛ת	c102
25	555	כָּל־	c102
25	556	רֶ֥מֶשׂ	c102
25	557	הָֽאֲדָמָ֖ה	c102
25	558	לְמִינֵ֑הוּ	c102
25	559	וַיַּ֥רְא	c103
25	560	אֱלֹהִ֖ים	c103
25	561	כִּי־	c104
25	562	טֽוֹב׃	c104
26	573	וַיֹּ֣אמֶר	c105
26	574	אֱלֹהִ֔ים	c105
26	575	נַֽעֲשֶׂ֥ה	c106
26	576	אָדָ֛ם	c106
26	577	בְּצַלְמֵ֖נוּ	c106
26	578	כִּדְמוּתֵ֑נוּ	c106
26	579	וְיִרְדּוּ֩	c107
26	580	בִדְגַ֨ת	c107
26	581	הַיָּ֜ם	c107
26	582	וּבְע֣וֹף	c107
26	583	הַשָּׁמַ֗יִם	c107
26	584	וּבַבְּהֵמָה֙	c107
26	585	וּבְכָל־	c107
26	586	הָאָ֔רֶץ	c107
26	587	וּבְכָל־	c107
26	588	הָרֶ֖מֶשׂ	c107
26	589	הָֽרֹמֵ֥שׂ	c108
26	590	עַל־	c108
26	591	הָאָֽרֶץ׃	c108
27	602	וַיִּבְרָ֨א	c109
27	603	אֱלֹהִ֤ים ׀	c109
27	604	אֶת־	c109
27	605	הָֽאָדָם֙	c109
27	606	בְּצַלְמ֔וֹ	c109
27	607	בְּצֶ֥לֶם	c110
27	608	אֱלֹהִ֖ים	c110
27	609	בָּרָ֣א	c110
27	610	אֹת֑וֹ	c110
27	611	זָכָ֥ר	c111
27	612	וּנְקֵבָ֖ה	c111
27	613	בָּרָ֥א	c111
27	614	אֹתָֽם׃	c111
28	625	וַיְבָ֣רֶךְ	c112
28	626	אֹתָם֮	c112
28	627	אֱלֹהִים֒	c112
28	628	וַיֹּ֨אמֶר	c113
28	629	לָהֶ֜ם	
28	630	אֱלֹהִ֗ים	c113
28	631	פְּר֥וּ	c114
28	632	וּרְב֛וּ	c115
28	633	וּמִלְא֥וּ	c116
28	634	אֶת־	c116
28	635	הָאָ֖רֶץ	c116
28	636	וְכִבְשֻׁ֑הָ	c117
28	637	וּרְד֞וּ	c118
28	638	בִּדְגַ֤ת	c118
28	639	הַיָּם֙	c118
28	640	וּבְע֣וֹף	c118
28	641	הַשָּׁמַ֔יִם	c118
28	642	וּבְכָל־	c118
28	643	חַיָּ֖ה	c118
28	644	הָֽרֹמֶ֥שֶׂת	c119
28	645	עַל־	c119
28	646	הָאָֽרֶץ׃	c119
29	657	וַיֹּ֣אמֶר	c120
29	658	אֱלֹהִ֗ים	c120
29	659	הִנֵּה֩	c121
29	660	נָתַ֨תִּי	c121
29	661	לָכֶ֜ם	
29	662	אֶת־	c121
29	663	כָּל־	c121
29	664	עֵ֣שֶׂב ׀	c121
29	665	זֹרֵ֣עַ	c122
29	666	זֶ֗רַע	c122
29	667	אֲשֶׁר֙	c123
29	668	עַל־	c123
29	669	פְּנֵ֣י	c123
29	670	כָל־	c123
29	671	הָאָ֔רֶץ	c123
29	672	וְאֶת־	c124
29	673	כָּל־	c124
29	674	הָעֵ֛ץ	c124
29	675	אֲשֶׁר־	c125
29	676	בּ֥וֹ	
29	677	פְרִי־	c125
29	678	עֵ֖ץ	c125
29	679	זֹרֵ֣עַ	c126
29	680	זָ֑רַע	c126
29	681	לָכֶ֥ם	
29	682	יִֽהְיֶ֖ה	c127
29	683	לְאָכְלָֽה׃	c127
30	694	וּֽלְכָל־	c128
30	695	חַיַּ֣ת	c128
30	696	הָ֠אָרֶץ	c128
30	697	וּלְכָל־	c128
30	698	ע֨וֹף	c128
30	699	הַשָּׁמַ֜יִם	c128
30	700	וּלְכֹ֣ל ׀	c128
30	701	רוֹמֵ֣שׂ	c128
30	702	עַל־	c128
30	703	הָאָ֗רֶץ	c128
30	704	אֲשֶׁר־	c129
30	705	בּוֹ֙	
30	706	נֶ֣פֶשׁ	c129
30	707	חַיָּ֔ה	c129
30	708	אֶת־	c130
30	709	כָּל־	c130
30	710	יֶ֥רֶק	c130
30	711	עֵ֖שֶׂב	c130
30	712	לְאָכְלָ֑ה	c130
30	713	וַֽיְהִי־	c131
30	714	כֵֽן׃	c131
31	725	וַיַּ֤רְא	c132
31	726	אֱלֹהִים֙	c132
31	727	אֶת־	c132
31	728	כָּל־	c132
31	729	אֲשֶׁ֣ר	c133
31	730	עָשָׂ֔ה	c133
31	731	וְהִנֵּה־	c134
31	732	ט֖וֹב	c134
31	733	מְאֹ֑ד	c134
31	734	וַֽיְהִי־	c135
31	735	עֶ֥רֶב	c135
31	736	וַֽיְהִי־	c136
31	737	בֹ֖קֶר	c136
31	738	י֥וֹם	c137
31	739	הַשִּׁשִּֽׁי׃	c137
31	740	פ	
32	751	וַיְכֻלּ֛וּ	c138
32	752	הַשָּׁמַ֥יִם	c138
32	753	וְהָאָ֖רֶץ	c138
32	754	וְכָל־	c138
32	755	צְבָאָֽם׃	c138
33	766	וַיְכַ֤ל	c139
33	767	אֱלֹהִים֙	c139
33	768	בַּיּ֣וֹם	c139
33	769	הַשְּׁבִיעִ֔י	c139
33	770	מְלַאכְתּ֖וֹ	c139
33	771	אֲשֶׁ֣ר	c140
33	772	עָשָׂ֑ה	c140
33	773	וַיִּשְׁבֹּת֙	c141
33	774	בַּיּ֣וֹם	c141
33	775	הַשְּׁבִיעִ֔י	c141
33	776	מִכָּל־	c141
33	777	מְלַאכְתּ֖וֹ	c141
33	778	אֲשֶׁ֥ר	c142
33	779	עָשָֽׂה׃	c142
34	790	וַיְבָ֤רֶךְ	c143
34	791	אֱלֹהִים֙	c143
34	792	אֶת־	c143
34	793	י֣וֹם	c143
34	794	הַשְּׁבִיעִ֔י	c143
34	795	וַיְקַדֵּ֖שׁ	c144
34	796	אֹת֑וֹ	c144
34	797	כִּ֣י	c145
34	798	ב֤וֹ	
34	799	שָׁבַת֙	c145
34	800	מִכָּל־	c145
34	801	מְלַאכְתּ֔וֹ	c145
34	802	אֲשֶׁר־	c146
34	803	בָּרָ֥א	c146
34	804	אֱלֹהִ֖ים	c146
34	805	לַעֲשֽׂוֹת׃	c147
34	806	פ	
35	817	אֵ֣לֶּה	c148
35	818	תוֹלְד֧וֹת	c148
35	819	הַשָּׁמַ֛יִם	c148
35	820	וְהָאָ֖רֶץ	c148
35	821	בְּהִבָּֽרְאָ֑ם	c149
35	822	בְּי֗וֹם	c150
35	823	עֲשׂ֛וֹת	c151
35	824	יְהוָ֥ה	c151
35	825	אֱלֹהִ֖ים	c151
35	826	אֶ֥רֶץ	c151
35	827	וְשָׁמָֽיִם׃	c151
36	838	וְכֹ֣ל ׀	c152
36	839	שִׂ֣יחַ	c152
36	840	הַשָּׂדֶ֗ה	c152
36	841	טֶ֚רֶם	c152
36	842	יִֽהְיֶ֣ה	c152
36	843	בָאָ֔רֶץ	c152
36	844	וְכָל־	c153
36	845	עֵ֥שֶׂב	c153
36	846	הַשָּׂדֶ֖ה	c153
36	847	טֶ֣רֶם	c153
36	848	יִצְמָ֑ח	c153
36	849	כִּי֩	c154
36	850	לֹ֨א	c154
36	851	הִמְטִ֜יר	c154
36	852	יְהוָ֤ה	c154
36	853	אֱלֹהִים֙	c154
36	854	עַל־	c154
36	855	הָאָ֔רֶץ	c154
36	856	וְאָדָ֣ם	c155
36	857	אַ֔יִן	c155
36	858	לַֽעֲבֹ֖ד	c156
36	859	אֶת־	c156
36	860	הָֽאֲדָמָֽה׃	c156
37	871	וְאֵ֖ד	c157
37	872	יַֽעֲלֶ֣ה	c157
37	873	מִן־	
37	874	הָאָ֑רֶץ	c157
37	875	וְהִשְׁקָ֖ה	c158
37	876	אֶֽת־	c158
37	877	כָּל־	c158
37	878	פְּנֵֽי־	c158
37	879	הָֽאֲדָמָֽה׃	c158
38	890	וַיִּיצֶר֩	c159
38	891	יְהוָ֨ה	c159
38	892	אֱלֹהִ֜ים	c159
38	893	אֶת־	c159
38	894	הָֽאָדָ֗ם	c159
38	895	עָפָר֙	c159
38	896	מִן־	
38	897	הָ֣אֲדָמָ֔ה	c159
38	898	וַיִּפַּ֥ח	c160
38	899	בְּאַפָּ֖יו	c160
38	900	נִשְׁמַ֣ת	c160
38	901	חַיִּ֑ים	c160
38	902	וַֽיְהִ֥י	c161
38	903	הָֽאָדָ֖ם	c161
38	904	לְנֶ֥פֶשׁ	c161
38	905	חַיָּֽה׃	c161
39	916	וַיִּטַּ֞ע	c162
39	917	יְהוָ֧ה	c162
39	918	אֱלֹהִ֛ים	c162
39	919	גַּן־	c162
39	920	בְעֵ֖דֶן	c162
39	921	מִקֶּ֑דֶם	c162
39	922	וַיָּ֣שֶׂם	c163
39	923	שָׁ֔ם	c163
39	924	אֶת־	c163
39	925	הָֽאָדָ֖ם	c163
39	926	אֲשֶׁ֥ר	c164
39	927	יָצָֽר׃	c164
40	938	וַיַּצְמַ֞ח	c165
40	939	יְהוָ֤ה	c165
40	940	אֱלֹהִים֙	c165
40	941	מִן־	
40	942	הָ֣אֲדָמָ֔ה	c165
40	943	כָּל־	c165
40	944	עֵ֛ץ	c165
40	945	נֶחְמָ֥ד	c166
40	946	לְמַרְאֶ֖ה	c166
40	947	וְט֣וֹב	c167
40	948	לְמַאֲכָ֑ל	c167
40	949	וְעֵ֤ץ	c168
40	950	הַֽחַיִּים֙	c168
40	951	בְּת֣וֹךְ	c168
40	952	הַגָּ֔ן	c168
40	953	וְעֵ֕ץ	c169
40	954	הַדַּ֖עַת	c169
40	955	ט֥וֹב	c169
40	956	וָרָֽע׃	c169
41	967	וְנָהָרּ֙	c170
41	968	יֹצֵ֣א	c170
41	969	מֵעֵ֔דֶן	c170
41	970	לְהַשְׁק֖וֹת	c171
41	971	אֶת־	c171
41	972	הַגָּ֑ן	c171
41	973	וּמִשָּׁם֙	c172
41	974	יִפָּרֵ֔ד	c172
41	975	וְהָיָ֖ה	c173
41	976	לְאַרְבָּעָ֥ה	c173
41	977	רָאשִֽׁים׃	c173
42	988	שֵׁ֥ם	c174
42	989	הָֽאֶחָ֖ד	c174
42	990	פִּישׁ֑וֹן	c174
42	991	ה֣וּא	c175
42	992	הַסֹּבֵ֗ב	c176
42	993	אֵ֚ת	c176
42	994	כָּל־	c176
42	995	אֶ֣רֶץ	c176
42	996	הַֽחֲוִילָ֔ה	c176
42	997	אֲשֶׁר־	c177
42	998	שָׁ֖ם	c177
42	999	הַזָּהָֽב׃	c177
43	1010	וּֽזֲהַ֛ב	c178
43	1011	הָאָ֥רֶץ	c178
43	1012	הַהִ֖וא	c178
43	1013	ט֑וֹב	c178
43	1014	שָׁ֥ם	c179
43	1015	הַבְּדֹ֖לַח	c179
43	1016	וְאֶ֥בֶן	c179
43	1017	הַשֹּֽׁהַם׃	c179
44	1028	וְשֵֽׁם־	c180
44	1029	הַנָּהָ֥ר	c180
44	1030	הַשֵּׁנִ֖י	c180
44	1031	גִּיח֑וֹן	c180
44	1032	ה֣וּא	c181
44	1033	הַסּוֹבֵ֔ב	c182
44	1034	אֵ֖ת	c182
44	1035	כָּל־	c182
