Ἀβιὰ	<p><font color='gray'>abia</font> | <font color='gray'>aviya</font><br><blu><b>Ἀβιά</b></blu> | <red>Abijah</red> | <num>G7</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G7<br><i>BDAG:</i> Ἀβιά<br><i>EDNT:</i> Ἀβιά<br><i>Louw-Nida:</i> 93.4</p>
Ἀβιαθὰρ	<p><font color='gray'>abiathar</font> | <font color='gray'>aviyaθar</font><br><blu><b>Ἀβιαθάρ</b></blu> | <red>Abiathar</red> | <num>G8</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G8<br><i>BDAG:</i> Ἀβιαθάρ<br><i>EDNT:</i> Ἀβιαθάρ<br><i>Louw-Nida:</i> 93.5</p>
Ἀβιληνῆς	<p><font color='gray'>abilēnēs</font> | <font color='gray'>aviyliyniys</font><br><blu><b>Ἀβιληνή</b></blu> | <red>Abilene</red> | <num>G9</num><br><b>N-GSF-L</b> | <morphD>Noun, Genitive, Singular, Feminine, Location</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G9<br><i>BDAG:</i> Ἀβιληνή<br><i>EDNT:</i> Ἀβιληνή<br><i>Louw-Nida:</i> 93.389</p>
Ἀβιούδ	<p><font color='gray'>abioud</font> | <font color='gray'>aviyuð</font><br><blu><b>Ἀβιούδ</b></blu> | <red>Abiud</red> | <num>G10</num><br><b>N-ASM-P</b> | <morphD>Noun, Accusative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G10<br><i>BDAG:</i> Ἀβιούδ<br><i>EDNT:</i> Ἀβιούδ<br><i>Louw-Nida:</i> 93.6</p>
Ἀβιοὺδ	<p><font color='gray'>abioud</font> | <font color='gray'>aviyuð</font><br><blu><b>Ἀβιούδ</b></blu> | <red>Abiud</red> | <num>G10</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G10<br><i>BDAG:</i> Ἀβιούδ<br><i>EDNT:</i> Ἀβιούδ<br><i>Louw-Nida:</i> 93.6</p>
Ἀβραάμ	<p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-ASM-P</b> | <morphD>Noun, Accusative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-DSM-P</b> | <morphD>Noun, Dative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 1.16，93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-VSM-P</b> | <morphD>Noun, Vocative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p>
Ἀβραὰμ	<p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-ASM-P</b> | <morphD>Noun, Accusative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-DSM-P</b> | <morphD>Noun, Dative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p><hr><p><font color='gray'>abraam</font> | <font color='gray'>avraam</font><br><blu><b>Ἀβραάμ</b></blu> | <red>Abraham</red> | <num>G11</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G11<br><i>BDAG:</i> Ἀβραάμ<br><i>EDNT:</i> Ἀβραάμ<br><i>Louw-Nida:</i> 93.7</p>
ἄβυσσον	<p><font color='gray'>abysson</font> | <font color='gray'>aviysson</font><br><blu><b>ἄβυσσος</b></blu> | <red>abyss</red> | <num>G12</num><br><b>N-ASF</b> | <morphD>Noun, Accusative, Singular, Feminine</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G12<br><i>BDAG:</i> ἄβυσσος<br><i>EDNT:</i> ἄβυσσος<br><i>Louw-Nida:</i> 1.20</p>
ἀβύσσου	<p><font color='gray'>abyssou</font> | <font color='gray'>aviyssu</font><br><blu><b>ἄβυσσος</b></blu> | <red>abyss</red> | <num>G12</num><br><b>N-GSF</b> | <morphD>Noun, Genitive, Singular, Feminine</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G12<br><i>BDAG:</i> ἄβυσσος<br><i>EDNT:</i> ἄβυσσος<br><i>Louw-Nida:</i> 1.20</p>
Ἅγαβος	<p><font color='gray'>hagabos</font> | <font color='gray'>agavos</font><br><blu><b>Ἄγαβος</b></blu> | <red>Agabus</red> | <num>G13</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G13<br><i>BDAG:</i> Ἅγαβος<br><i>EDNT:</i> Ἅγαβος<br><i>Louw-Nida:</i> 93.8</p>
ἀγαγεῖν	<p><font color='gray'>agagein</font> | <font color='gray'>agayiyn</font><br><blu><b>ἄγω</b></blu> | <red>to bring</red> | <num>G71</num><br><b>V-2AAN</b> | <morphD>Verb, second Aorist, Active, iNfinitive</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G72<br><i>BDAG:</i> ἄγω<br><i>EDNT:</i> ἄγω<br><i>Louw-Nida:</i> 15.165</p>
