G965	N-DSF-L	｛40.2.5｜40.2.5｝
G3588	T-GSF	｛40.2.5｜40.2.5｝
G2449	N-GSF-L	｛40.2.5｜40.2.5｝
G3779	ADV	｛40.2.5｜40.2.5｝
G1063	CONJ	｛40.2.5｜40.2.5｝
G1125	V-RPI-3S	｛40.2.5｜40.2.5｝
G1223	PREP	｛40.2.5｜40.2.5｝
G3588	T-GSM	｛40.2.5｜40.2.5｝
G4396	N-GSM	｛40.2.5｜40.2.5｝
G2532	CONJ	｛40.2.6｜40.2.6｝
G4771	P-2NS	｛40.2.6｜40.2.6｝
G965	N-VSF-L	｛40.2.6｜40.2.6｝
G1093	N-VSF	｛40.2.6｜40.2.6｝
G2448	N-GSM-L	｛40.2.6｜40.2.6｝
G3760	ADV	｛40.2.6｜40.2.6｝
G1646	A-NSF	｛40.2.6｜40.2.6｝
G1510	V-PAI-2S	｛40.2.6｜40.2.6｝
G1722	PREP	｛40.2.6｜40.2.6｝
