1	1	11	<a class='l' href='dm://FHL.H430'>　神</a><a class='l' href='dm://FHL.H559'>說</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H776'>：「地</a><a class='l' href='dm://FHL.H1876'>要發生</a><a href='dm://FHL.H8686'><sup>T</sup></a><a class='l' href='dm://FHL.H1877'>青草</a><a class='l' href='dm://FHL.H2232'>和結</a><a href='dm://FHL.H8688'><sup>T</sup></a><a class='l' href='dm://FHL.H2233'>種子</a><a class='l' href='dm://FHL.H6212'>的菜蔬</a><a class='l' href='dm://FHL.H6213'>，並結</a><a href='dm://FHL.H8802'><sup>T</sup></a><a class='l' href='dm://FHL.H6529'>果子</a><a class='l' href='dm://FHL.H6529'>的樹木</a><a href='dm://FHL.H6086'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>，各從其類</a><a href='dm://FHL.H4327'><sup>S</sup></a>，果子<a href='dm://FHL.H834'><sup>[S]</sup></a><a class='l' href='dm://FHL.H2233'>都包著核</a><a href='dm://FHL.H9002'><sup>[S]</sup></a>。」<a href='dm://FHL.H5921'><sup>[S]</sup></a><a href='dm://FHL.H776'><sup>[S]</sup></a><a class='l' href='dm://FHL.H3651'>事就這樣</a><a class='l' href='dm://FHL.H1961'>成了</a><a href='dm://FHL.H8799'><sup>T</sup></a>。
1	1	12	<a class='l' href='dm://FHL.H776'>於是地</a><a class='l' href='dm://FHL.H3318'>發生了</a><a href='dm://FHL.H8686'><sup>T</sup></a><a class='l' href='dm://FHL.H1877'>青草</a><a class='l' href='dm://FHL.H2232'>和結</a><a href='dm://FHL.H8688'><sup>T</sup></a><a class='l' href='dm://FHL.H2233'>種子</a><a class='l' href='dm://FHL.H6212'>的菜蔬</a><a class='l' href='dm://FHL.H9001'>，各從其類</a><a href='dm://FHL.H4327'><sup>S</sup></a><a class='l' href='dm://FHL.H6213'>；並結</a><a href='dm://FHL.H8802'><sup>T</sup></a><a class='l' href='dm://FHL.H6529'>果子</a><a class='l' href='dm://FHL.H6086'>的樹木</a><a class='l' href='dm://FHL.H9001'>，各從其類</a><a href='dm://FHL.H4327'><sup>S</sup></a>；果子<a href='dm://FHL.H834'><sup>[S]</sup></a><a class='l' href='dm://FHL.H2233'>都包著核</a><a href='dm://FHL.H9002'><sup>[S]</sup></a><a class='l' href='dm://FHL.H430'>。　神</a><a class='l' href='dm://FHL.H7200'>看著</a><a href='dm://FHL.H8799'><sup>T</sup></a><a href='dm://FHL.H3588'><sup>[S]</sup></a><a class='l' href='dm://FHL.H2896'>是好的</a>。
1	1	13	<a class='l' href='dm://FHL.H1961'>有</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H6153'>晚上</a><a class='l' href='dm://FHL.H1961'>，有</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H1242'>早晨</a><a class='l' href='dm://FHL.H7992'>，是第三</a><a class='l' href='dm://FHL.H3117'>日</a>。
1	1	14	<a class='l' href='dm://FHL.H430'>　神</a><a class='l' href='dm://FHL.H559'>說</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H9002'>：「天上</a><a href='dm://FHL.H7549'><sup>S</sup></a><a href='dm://FHL.H8064'><sup>S</sup></a><a class='l' href='dm://FHL.H1961'>要有</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H3974'>光體</a><a class='l' href='dm://FHL.H9001'>，可以分</a><a href='dm://FHL.H914'><sup>S</sup></a><a href='dm://FHL.H8687'><sup>T</sup></a><a href='dm://FHL.H996'><sup>[S]</sup></a><a class='l' href='dm://FHL.H3117'>晝</a><a href='dm://FHL.H996'><sup>[S]</sup></a><a class='l' href='dm://FHL.H3915'>夜</a>，<a href='dm://FHL.H1961'><sup>[S]</sup></a><a href='dm://FHL.H8804'><sup>[T]</sup></a><a class='l' href='dm://FHL.H9001'>作記號</a><a href='dm://FHL.H226'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>，定節令</a><a href='dm://FHL.H4150'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>、日子</a><a href='dm://FHL.H3117'><sup>S</sup></a><a class='l' href='dm://FHL.H8141'>、年歲</a>，
1	1	15	<a class='l' href='dm://FHL.H1961'>並要</a><a href='dm://FHL.H8804'><sup>T</sup></a><a class='l' href='dm://FHL.H9001'>發光</a><a href='dm://FHL.H3974'><sup>S</sup></a><a class='l' href='dm://FHL.H8064'>在天</a><a class='l' href='dm://FHL.H9002'>空</a><a href='dm://FHL.H7549'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>，普照</a><a href='dm://FHL.H215'><sup>S</sup></a><a href='dm://FHL.H8687'><sup>T</sup></a><a class='l' href='dm://FHL.H5921'>在</a><a class='l' href='dm://FHL.H776'>地上</a><a class='l' href='dm://FHL.H3651'>。」事就這樣</a><a class='l' href='dm://FHL.H1961'>成了</a><a href='dm://FHL.H8799'><sup>T</sup></a>。
1	1	16	<a class='l' href='dm://FHL.H430'>於是　神</a><a class='l' href='dm://FHL.H6213'>造了</a><a href='dm://FHL.H8799'><sup>T</sup></a><a href='dm://FHL.H853'><sup>[S]</sup></a><a class='l' href='dm://FHL.H8147'>兩個</a><a class='l' href='dm://FHL.H1419'>大</a><a class='l' href='dm://FHL.H3974'>光</a>，<a href='dm://FHL.H853'><sup>[S]</sup></a><a class='l' href='dm://FHL.H1419'>大的</a><a href='dm://FHL.H3974'><sup>[S]</sup></a><a class='l' href='dm://FHL.H9001'>管</a><a href='dm://FHL.H4475'><sup>S</sup></a><a class='l' href='dm://FHL.H3117'>晝</a>，<a href='dm://FHL.H853'><sup>[S]</sup></a><a class='l' href='dm://FHL.H6996'>小的</a><a href='dm://FHL.H3974'><sup>[S]</sup></a><a class='l' href='dm://FHL.H9001'>管</a><a href='dm://FHL.H4475'><sup>S</sup></a><a class='l' href='dm://FHL.H3915'>夜</a>，又造<a href='dm://FHL.H853'><sup>[S]</sup></a><a class='l' href='dm://FHL.H3556'>眾星</a>，
1	1	17	<a href='dm://FHL.H430'><sup>[S]</sup></a><a class='l' href='dm://FHL.H853'>就把這些光</a><a class='l' href='dm://FHL.H5414'>擺列</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H8064'>在天</a><a class='l' href='dm://FHL.H9002'>空</a><a href='dm://FHL.H7549'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>，普照</a><a href='dm://FHL.H215'><sup>S</sup></a><a href='dm://FHL.H8687'><sup>T</sup></a><a class='l' href='dm://FHL.H5921'>在</a><a class='l' href='dm://FHL.H776'>地上</a>，
1	1	18	<a class='l' href='dm://FHL.H9001'>管理</a><a href='dm://FHL.H4910'><sup>S</sup></a><a href='dm://FHL.H8800'><sup>T</sup></a><a class='l' href='dm://FHL.H9002'>晝</a><a href='dm://FHL.H3117'><sup>S</sup></a><a class='l' href='dm://FHL.H9002'>夜</a><a href='dm://FHL.H3915'><sup>S</sup></a><a class='l' href='dm://FHL.H9001'>，分別</a><a href='dm://FHL.H914'><sup>S</sup></a><a href='dm://FHL.H8687'><sup>T</sup></a><a href='dm://FHL.H996'><sup>[S]</sup></a><a class='l' href='dm://FHL.H216'>明</a><a href='dm://FHL.H996'><sup>[S]</sup></a><a class='l' href='dm://FHL.H2822'>暗</a><a class='l' href='dm://FHL.H430'>。　神</a><a class='l' href='dm://FHL.H7200'>看著</a><a href='dm://FHL.H8799'><sup>T</sup></a><a href='dm://FHL.H3588'><sup>[S]</sup></a><a class='l' href='dm://FHL.H2896'>是好的</a>。
1	1	19	<a class='l' href='dm://FHL.H1961'>有</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H6153'>晚上</a><a class='l' href='dm://FHL.H1961'>，有</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H1242'>早晨</a><a class='l' href='dm://FHL.H7243'>，是第四</a><a class='l' href='dm://FHL.H3117'>日</a>。
1	1	20	<a class='l' href='dm://FHL.H430'>　神</a><a class='l' href='dm://FHL.H559'>說</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H4325'>：「水</a><a class='l' href='dm://FHL.H8317'>要多多滋生</a><a href='dm://FHL.H8799'><sup>T</sup></a><a class='l' href='dm://FHL.H5315'>有生命</a><a href='dm://FHL.H2416'><sup>S</sup></a><a class='l' href='dm://FHL.H8318'>的物</a><a class='l' href='dm://FHL.H5775'>；要有雀鳥</a><a class='l' href='dm://FHL.H5774'>飛</a><a href='dm://FHL.H8787'><sup>T</sup></a><a class='l' href='dm://FHL.H5921'>在</a><a class='l' href='dm://FHL.H776'>地面</a><a class='l' href='dm://FHL.H8064'>以上，天</a><a class='l' href='dm://FHL.H7549'>空</a><a class='l' href='dm://FHL.H5921'>之中</a><a href='dm://FHL.H6440'><sup>S</sup></a>。」
