000124	〔40｜1｜8〕	Ἰωράμ
000125	〔40｜1｜8〕	Ἰωρὰμ
000126	〔40｜1｜8〕	δὲ
000127	〔40｜1｜8〕	ἐγέννησεν
000128	〔40｜1｜8〕	τὸν
000129	〔40｜1｜8〕	Ὀζίαν
000130	〔40｜1｜9〕	Ὀζίας
000131	〔40｜1｜9〕	δὲ
000132	〔40｜1｜9〕	ἐγέννησεν
000133	〔40｜1｜9〕	τὸν
000134	〔40｜1｜9〕	Ἰωαθάμ
000135	〔40｜1｜9〕	Ἰωαθὰμ
000136	〔40｜1｜9〕	δὲ
000137	〔40｜1｜9〕	ἐγέννησεν
000138	〔40｜1｜9〕	τὸν
000139	〔40｜1｜9〕	Ἄχαζ
000140	〔40｜1｜9〕	Ἄχαζ
000141	〔40｜1｜9〕	δὲ
000142	〔40｜1｜9〕	ἐγέννησεν
000143	〔40｜1｜9〕	τὸν
000144	〔40｜1｜9〕	Ἑζεκίαν
000145	〔40｜1｜10〕	Ἑζεκίας
000146	〔40｜1｜10〕	δὲ
000147	〔40｜1｜10〕	ἐγέννησεν
000148	〔40｜1｜10〕	τὸν
000149	〔40｜1｜10〕	Μανασσῆ
000150	〔40｜1｜10〕	Μανασσῆς
000151	〔40｜1｜10〕	δὲ
000152	〔40｜1｜10〕	ἐγέννησεν
000153	〔40｜1｜10〕	τὸν
000154	〔40｜1｜10〕	Ἀμώς
000155	〔40｜1｜10〕	Ἀμὼς
000156	〔40｜1｜10〕	δὲ
000157	〔40｜1｜10〕	ἐγέννησεν
000158	〔40｜1｜10〕	τὸν
000159	〔40｜1｜10〕	Ἰωσίαν
000160	〔40｜1｜11〕	Ἰωσίας
000161	〔40｜1｜11〕	δὲ
000162	〔40｜1｜11〕	ἐγέννησεν
000163	〔40｜1｜11〕	τὸν
000164	〔40｜1｜11〕	Ἰεχονίαν
000165	〔40｜1｜11〕	καὶ
000166	〔40｜1｜11〕	τοὺς
000167	〔40｜1｜11〕	ἀδελφοὺς
000168	〔40｜1｜11〕	αὐτοῦ
000169	〔40｜1｜11〕	ἐπὶ
000170	〔40｜1｜11〕	τῆς
000171	〔40｜1｜11〕	μετοικεσίας
000172	〔40｜1｜11〕	Βαβυλῶνος
000173	〔40｜1｜12〕	Μετὰ
000174	〔40｜1｜12〕	δὲ
000175	〔40｜1｜12〕	τὴν
000176	〔40｜1｜12〕	μετοικεσίαν
000177	〔40｜1｜12〕	Βαβυλῶνος
000178	〔40｜1｜12〕	Ἰεχονίας
000179	〔40｜1｜12〕	ἐγέννησεν
