OGNTsort	extendedStrNo	RMAC	description
013117	G846	P-GPM	『P-GPM』
013118	G3326	PREP	『PREP』
013119	G3588	T-GPM	『T-GPM』
013120	G2265	N-GPM-T	『N-GPM-T』
013121	G3004	V-PAP-NPM	『V-PAP-NPM』
013122	G1320	N-VSM	『N-VSM』
013123	G1492	V-RAI-1P	『V-RAI-1P』
013124	G3754	CONJ	『CONJ』
013125	G227	A-NSM	『A-NSM』
013126	G1510	V-PAI-2S	『V-PAI-2S』
013127	G2532	CONJ	『CONJ』
013128	G3588	T-ASF	『T-ASF』
013129	G3598	N-ASF	『N-ASF』
013130	G3588	T-GSM	『T-GSM』
013131	G2316	N-GSM	『N-GSM』
013132	G1722	PREP	『PREP』
013133	G225	N-DSF	『N-DSF』
013134	G1321	V-PAI-2S	『V-PAI-2S』
013135	G2532	CONJ	『CONJ』
013136	G3756	PRT-N	『PRT-N』
013137	G3199	V-PAI-3S	『V-PAI-3S』
013138	G4771	P-2DS	『P-2DS』
013139	G4012	PREP	『PREP』
013140	G3762	A-GSM	『A-GSM』
013141	G3756	PRT-N	『PRT-N』
013142	G1063	CONJ	『CONJ』
013143	G991	V-PAI-2S	『V-PAI-2S』
013144	G1519	PREP	『PREP』
013145	G4383	N-ASN	『N-ASN』
013146	G444	N-GPM	『N-GPM』
013147	G2036	V-2AAM-2S	『V-2AAM-2S』
013148	G3767	CONJ	『CONJ』
013149	G1473	P-1DP	『P-1DP』
013150	G5101	I-NSN	『I-NSN』
013151	G4771	P-2DS	『P-2DS』
013152	G1380	V-PAI-3S	『V-PAI-3S』
013153	G1832	V-PAI-3S	『V-PAI-3S』
013154	G1325	V-2AAN	『V-2AAN』
013155	G2778	N-ASM	『N-ASM』
013156	G2541	N-DSM-T	『N-DSM-T』
013157	G2228	CONJ	『CONJ』
013158	G3756	PRT-N	『PRT-N』
013159	G1097	V-2AAP-NSM	『V-2AAP-NSM』
013160	G1161	CONJ	『CONJ』
013161	G3588	T-NSM	『T-NSM』
013162	G2424	N-NSM-P	『N-NSM-P』
013163	G3588	T-ASF	『T-ASF』
013164	G4189	N-ASF	『N-ASF』
013165	G846	P-GPM	『P-GPM』
013166	G2036	V-2AAI-3S	『V-2AAI-3S』
013167	G5101	I-ASN	『I-ASN』
013168	G1473	P-1AS	『P-1AS』
013169	G3985	V-PAI-2P	『V-PAI-2P』
013170	G5273	N-VPM	『N-VPM』
013171	G1925	V-AAM-2P	『V-AAM-2P』
013172	G1473	P-1DS	『P-1DS』
013173	G3588	T-ASN	『T-ASN』
013174	G3546	N-ASN	『N-ASN』
013175	G3588	T-GSM	『T-GSM』
013176	G2778	N-GSM	『N-GSM』
013177	G3588	T-NPM	『T-NPM』
013178	G1161	CONJ	『CONJ』
013179	G4374	V-AAI-3P	『V-AAI-3P』
013180	G846	P-DSM	『P-DSM』
013181	G1220	N-ASN	『N-ASN』
013182	G2532	CONJ	『CONJ』
013183	G3004	V-PAI-3S	『V-PAI-3S』
013184	G846	P-DPM	『P-DPM』
013185	G5101	I-GSM	『I-GSM』
013186	G3588	T-NSF	『T-NSF』
013187	G1504	N-NSF	『N-NSF』
013188	G3778	D-NSF	『D-NSF』
013189	G2532	CONJ	『CONJ』
013190	G3588	T-NSF	『T-NSF』
013191	G1923	N-NSF	『N-NSF』
013192	G3004	V-PAI-3P	『V-PAI-3P』
013193	G846	P-DSM	『P-DSM』
013194	G2541	N-GSM-T	『N-GSM-T』
013195	G5119	ADV	『ADV』
013196	G3004	V-PAI-3S	『V-PAI-3S』
013197	G846	P-DPM	『P-DPM』
013198	G591	V-2AAM-2P	『V-2AAM-2P』
013199	G3767	CONJ	『CONJ』
013200	G3588	T-APN	『T-APN』
013201	G2541	N-GSM-T	『N-GSM-T』
013202	G2541	N-DSM-T	『N-DSM-T』
013203	G2532	CONJ	『CONJ』
013204	G3588	T-APN	『T-APN』
013205	G3588	T-GSM	『T-GSM』
013206	G2316	N-GSM	『N-GSM』
013207	G3588	T-DSM	『T-DSM』
013208	G2316	N-DSM	『N-DSM』
013209	G2532	CONJ	『CONJ』
013210	G191	V-AAP-NPM	『V-AAP-NPM』
013211	G2296	V-AAI-3P	『V-AAI-3P』
013212	G2532	CONJ	『CONJ』
013213	G863	V-2AAP-NPM	『V-2AAP-NPM』
013214	G846	P-ASM	『P-ASM』
013215	G565	V-2AAI-3P	『V-2AAI-3P』
013216	G1722	PREP	『PREP』
013217	G1565	D-DSF	『D-DSF』
013218	G3588	T-DSF	『T-DSF』
013219	G2250	N-DSF	『N-DSF』
013220	G4334	V-2AAI-3P	『V-2AAI-3P』
013221	G846	P-DSM	『P-DSM』
013222	G4523	N-NPM-T	『N-NPM-T』
013223	G3004	V-PAP-NPM	『V-PAP-NPM』
013224	G3361	PRT-N	『PRT-N』
013225	G1510	V-PAN	『V-PAN』
013226	G386	N-ASF	『N-ASF』
013227	G2532	CONJ	『CONJ』
013228	G1905	V-AAI-3P	『V-AAI-3P』
013229	G846	P-ASM	『P-ASM』
013230	G3004	V-PAP-NPM	『V-PAP-NPM』
013231	G1320	N-VSM	『N-VSM』
013232	G3475	N-NSM-P	『N-NSM-P』
013233	G2036	V-2AAI-3S	『V-2AAI-3S』
013234	G1437	CONJ	『CONJ』
013235	G5100	X-NSM	『X-NSM』
013236	G599	V-2AAS-3S	『V-2AAS-3S』
013237	G3361	PRT-N	『PRT-N』
013238	G2192	V-PAP-NSM	『V-PAP-NSM』
013239	G5043	N-APN	『N-APN』
013240	G1918	V-FAI-3S	『V-FAI-3S』
013241	G3588	T-NSM	『T-NSM』
013242	G80	N-NSM	『N-NSM』
013243	G846	P-GSM	『P-GSM』
013244	G3588	T-ASF	『T-ASF』
013245	G1135	N-ASF	『N-ASF』
013246	G846	P-GSM	『P-GSM』
013247	G2532	CONJ	『CONJ』
013248	G450	V-FAI-3S	『V-FAI-3S』
013249	G4690	N-ASN	『N-ASN』
013250	G3588	T-DSM	『T-DSM』
013251	G80	N-DSM	『N-DSM』
013252	G846	P-GSM	『P-GSM』
013253	G1510	V-IAI-3P	『V-IAI-3P』
013254	G1161	CONJ	『CONJ』
013255	G3844	PREP	『PREP』
013256	G1473	P-1DP	『P-1DP』
013257	G2033	A-NPM-NUI	『A-NPM-NUI』
013258	G80	N-NPM	『N-NPM』
013259	G2532	CONJ	『CONJ』
013260	G3588	T-NSM	『T-NSM』
013261	G4413	A-NSM	『A-NSM』
013262	G1060	V-AAP-NSM	『V-AAP-NSM』
013263	G5053	V-AAI-3S	『V-AAI-3S』
013264	G2532	CONJ	『CONJ』
013265	G3361	PRT-N	『PRT-N』
013266	G2192	V-PAP-NSM	『V-PAP-NSM』
013267	G4690	N-ASN	『N-ASN』
013268	G863	V-AAI-3S	『V-AAI-3S』
013269	G3588	T-ASF	『T-ASF』
013270	G1135	N-ASF	『N-ASF』
013271	G846	P-GSM	『P-GSM』
013272	G3588	T-DSM	『T-DSM』
013273	G80	N-DSM	『N-DSM』
013274	G846	P-GSM	『P-GSM』
013275	G3668	ADV	『ADV』
013276	G2532	CONJ	『CONJ』
013277	G3588	T-NSM	『T-NSM』
013278	G1208	A-NSM	『A-NSM』
013279	G2532	CONJ	『CONJ』
013280	G3588	T-NSM	『T-NSM』
013281	G5154	A-NSM	『A-NSM』
013282	G2193	PREP	『PREP』
013283	G3588	T-GPM	『T-GPM』
013284	G2033	A-GPM-NUI	『A-GPM-NUI』
013285	G5306	A-ASN-C	『A-ASN-C』
013286	G1161	CONJ	『CONJ』
013287	G3956	A-GPN	『A-GPN』
013288	G599	V-2AAI-3S	『V-2AAI-3S』
013289	G3588	T-NSF	『T-NSF』
013290	G1135	N-NSF	『N-NSF』
013291	G1722	PREP	『PREP』
013292	G3588	T-DSF	『T-DSF』
013293	G386	N-DSF	『N-DSF』
013294	G3767	CONJ	『CONJ』
013295	G5101	I-GSM	『I-GSM』
013296	G3588	T-GPM	『T-GPM』
013297	G2033	A-GPM-NUI	『A-GPM-NUI』
013298	G1510	V-FDI-3S	『V-FDI-3S』
013299	G1135	N-NSF	『N-NSF』
013300	G3956	A-NPM	『A-NPM』
013301	G1063	CONJ	『CONJ』
013302	G2192	V-2AAI-3P	『V-2AAI-3P』
013303	G846	P-ASF	『P-ASF』
013304	G611	V-AOP-NSM	『V-AOP-NSM』
013305	G1161	CONJ	『CONJ』
013306	G3588	T-NSM	『T-NSM』
013307	G2424	N-NSM-P	『N-NSM-P』
013308	G2036	V-2AAI-3S	『V-2AAI-3S』
013309	G846	P-DPM	『P-DPM』
013310	G4105	V-PPI-2P	『V-PPI-2P』
013311	G3361	PRT-N	『PRT-N』
013312	G1492	V-RAP-NPM	『V-RAP-NPM』
013313	G3588	T-APF	『T-APF』
013314	G1124	N-APF	『N-APF』
013315	G3366	CONJ	『CONJ』
013316	G3588	T-ASF	『T-ASF』
013317	G1411	N-ASF	『N-ASF』
013318	G3588	T-GSM	『T-GSM』
013319	G2316	N-GSM	『N-GSM』
013320	G1722	PREP	『PREP』
013321	G1063	CONJ	『CONJ』
013322	G3588	T-DSF	『T-DSF』
013323	G386	N-DSF	『N-DSF』
013324	G3777	CONJ-N	『CONJ-N』
013325	G1060	V-PAI-3P	『V-PAI-3P』
013326	G3777	CONJ-N	『CONJ-N』
013327	G1061	V-PPI-3P	『V-PPI-3P』
013328	G235	CONJ	『CONJ』
013329	G5613	CONJ	『CONJ』
013330	G32	N-NPM	『N-NPM』
013331	G1722	PREP	『PREP』
013332	G3588	T-DSM	『T-DSM』
013333	G3772	N-DSM	『N-DSM』
013334	G1510	V-PAI-3P	『V-PAI-3P』
013335	G4012	PREP	『PREP』
013336	G1161	CONJ	『CONJ』
013337	G3588	T-GSF	『T-GSF』
013338	G386	N-GSF	『N-GSF』
013339	G3588	T-GPM	『T-GPM』
013340	G3498	A-GPM	『A-GPM』
013341	G3756	PRT-N	『PRT-N』
013342	G314	V-2AAI-2P	『V-2AAI-2P』
013343	G3588	T-ASN	『T-ASN』
013344	G2036	V-APP-ASN	『V-APP-ASN』
013345	G4771	P-2DP	『P-2DP』
013346	G5259	PREP	『PREP』
013347	G3588	T-GSM	『T-GSM』
013348	G2316	N-GSM	『N-GSM』
013349	G3004	V-PAP-GSM	『V-PAP-GSM』
013350	G1473	P-1NS	『P-1NS』
013351	G1510	V-PAI-1S	『V-PAI-1S』
013352	G3588	T-NSM	『T-NSM』
013353	G2316	N-NSM	『N-NSM』
013354	G11	N-GSM-P	『N-GSM-P』
013355	G2532	CONJ	『CONJ』
013356	G3588	T-NSM	『T-NSM』
013357	G2316	N-NSM	『N-NSM』
013358	G2464	N-GSM-P	『N-GSM-P』
013359	G2532	CONJ	『CONJ』
013360	G3588	T-NSM	『T-NSM』
013361	G2316	N-NSM	『N-NSM』
013362	G2384	N-GSM-P	『N-GSM-P』
013363	G3756	PRT-N	『PRT-N』
013364	G1510	V-PAI-3S	『V-PAI-3S』
013365	G3588	T-NSM	『T-NSM』
013366	G2316	N-NSM	『N-NSM』
013367	G3498	A-GPM	『A-GPM』
013368	G235	CONJ	『CONJ』
013369	G2198	V-PAP-GPM	『V-PAP-GPM』
013370	G2532	CONJ	『CONJ』
013371	G191	V-AAP-NPM	『V-AAP-NPM』
013372	G3588	T-NPM	『T-NPM』
013373	G3793	N-NPM	『N-NPM』
013374	G1605	V-IPI-3P	『V-IPI-3P』
013375	G1909	PREP	『PREP』
013376	G3588	T-DSF	『T-DSF』
013377	G1322	N-DSF	『N-DSF』
013378	G846	P-GSM	『P-GSM』
013379	G3588	T-NPM	『T-NPM』
013380	G1161	CONJ	『CONJ』
013381	G5330	N-NPM-T	『N-NPM-T』
013382	G191	V-AAP-NPM	『V-AAP-NPM』
013383	G3754	CONJ	『CONJ』
013384	G5392	V-AAI-3S	『V-AAI-3S』
013385	G3588	T-APM	『T-APM』
013386	G4523	N-APM-T	『N-APM-T』
013387	G4863	V-API-3P	『V-API-3P』
013388	G1909	PREP	『PREP』
013389	G3588	T-ASN	『T-ASN』
013390	G846	P-ASN	『P-ASN』
013391	G2532	CONJ	『CONJ』
013392	G1905	V-AAI-3S	『V-AAI-3S』
013393	G1520	A-NSM	『A-NSM』
013394	G1537	PREP	『PREP』
013395	G846	P-GPM	『P-GPM』
013396	G3544	A-NSM	『A-NSM』
013397	G3985	V-PAP-NSM	『V-PAP-NSM』
013398	G846	P-ASM	『P-ASM』
013399	G1320	N-VSM	『N-VSM』
013400	G4169	I-NSF	『I-NSF』
013401	G1785	N-NSF	『N-NSF』
013402	G3173	A-NSF	『A-NSF』
013403	G1722	PREP	『PREP』
013404	G3588	T-DSM	『T-DSM』
013405	G3551	N-DSM	『N-DSM』
013406	G3588	T-NSM	『T-NSM』
013407	G1161	CONJ	『CONJ』
013408	G5346	V-IAI-3S	『V-IAI-3S』
013409	G846	P-DSM	『P-DSM』
013410	G25	V-FAI-2S	『V-FAI-2S』
013411	G2962	N-ASM	『N-ASM』
013412	G3588	T-ASM	『T-ASM』
013413	G2316	N-ASM	『N-ASM』
013414	G4771	P-2GS	『P-2GS』
013415	G1722	PREP	『PREP』
013416	G3650	A-DSF	『A-DSF』
013417	G3588	T-DSF	『T-DSF』
013418	G2588	N-DSF	『N-DSF』
013419	G4771	P-2GS	『P-2GS』
013420	G2532	CONJ	『CONJ』
013421	G1722	PREP	『PREP』
013422	G3650	A-DSF	『A-DSF』
013423	G3588	T-DSF	『T-DSF』
013424	G5590	N-DSF	『N-DSF』
013425	G4771	P-2GS	『P-2GS』
013426	G2532	CONJ	『CONJ』
013427	G1722	PREP	『PREP』
013428	G3650	A-DSF	『A-DSF』
013429	G3588	T-DSF	『T-DSF』
013430	G1271	N-DSF	『N-DSF』
013431	G4771	P-2GS	『P-2GS』
013432	G3778	D-NSF	『D-NSF』
013433	G1510	V-PAI-3S	『V-PAI-3S』
013434	G3588	T-NSF	『T-NSF』
013435	G3173	A-NSF	『A-NSF』
013436	G2532	CONJ	『CONJ』
013437	G4413	A-NSF	『A-NSF』
013438	G1785	N-NSF	『N-NSF』
013439	G1208	A-NSF	『A-NSF』
013440	G1161	CONJ	『CONJ』
013441	G3664	A-NSF	『A-NSF』
013442	G846	P-DSF	『P-DSF』
013443	G25	V-FAI-2S	『V-FAI-2S』
013444	G3588	T-ASM	『T-ASM』
013445	G4139	ADV	『ADV』
013446	G4771	P-2GS	『P-2GS』
013447	G5613	CONJ	『CONJ』
013448	G4572	F-2ASM	『F-2ASM』
013449	G1722	PREP	『PREP』
013450	G3778	D-DPF	『D-DPF』
013451	G3588	T-DPF	『T-DPF』
013452	G1417	A-DPF	『A-DPF』
013453	G1785	N-DPF	『N-DPF』
013454	G3650	A-NSM	『A-NSM』
013455	G3588	T-NSM	『T-NSM』
013456	G3551	N-NSM	『N-NSM』
013457	G2910	V-PPI-3S	『V-PPI-3S』
013458	G2532	CONJ	『CONJ』
013459	G3588	T-NPM	『T-NPM』
013460	G4396	N-NPM	『N-NPM』
013461	G4863	V-RPP-GPM	『V-RPP-GPM』
013462	G1161	CONJ	『CONJ』
013463	G3588	T-GPM	『T-GPM』
013464	G5330	N-GPM-T	『N-GPM-T』
013465	G1905	V-AAI-3S	『V-AAI-3S』
013466	G846	P-APM	『P-APM』
013467	G3588	T-NSM	『T-NSM』
013468	G2424	N-NSM-P	『N-NSM-P』
013469	G3004	V-PAP-NSM	『V-PAP-NSM』
013470	G5101	I-NSN	『I-NSN』
013471	G4771	P-2DP	『P-2DP』
013472	G1380	V-PAI-3S	『V-PAI-3S』
013473	G4012	PREP	『PREP』
013474	G3588	T-GSM	『T-GSM』
013475	G5547	N-GSM-T	『N-GSM-T』
013476	G5101	I-GSM	『I-GSM』
013477	G5207	N-NSM	『N-NSM』
013478	G1510	V-PAI-3S	『V-PAI-3S』
013479	G3004	V-PAI-3P	『V-PAI-3P』
013480	G846	P-DSM	『P-DSM』
013481	G3588	T-GSM	『T-GSM』
013482	G1138	N-GSM-P	『N-GSM-P』
013483	G3004	V-PAI-3S	『V-PAI-3S』
013484	G846	P-DPM	『P-DPM』
013485	G4459	ADV	『ADV』
013486	G3767	CONJ	『CONJ』
013487	G1138	N-NSM-P	『N-NSM-P』
013488	G1722	PREP	『PREP』
013489	G4151	N-DSN	『N-DSN』
013490	G2564	V-PAI-3S	『V-PAI-3S』
013491	G846	P-ASM	『P-ASM』
013492	G2962	N-ASM	『N-ASM』
013493	G3004	V-PAP-NSM	『V-PAP-NSM』
013494	G2036	V-2AAI-3S	『V-2AAI-3S』
013495	G2962	N-NSM	『N-NSM』
013496	G3588	T-DSM	『T-DSM』
013497	G2962	N-DSM	『N-DSM』
013498	G1473	P-1GS	『P-1GS』
013499	G2521	V-PNM-2S	『V-PNM-2S』
013500	G1537	PREP	『PREP』
013501	G1188	A-GPN	『A-GPN』
013502	G1473	P-1GS	『P-1GS』
013503	G2193	CONJ	『CONJ』
013504	G302	PRT	『PRT』
013505	G5087	V-2AAS-1S	『V-2AAS-1S』
013506	G3588	T-APM	『T-APM』
013507	G2190	A-APM	『A-APM』
013508	G4771	P-2GS	『P-2GS』
013509	G5270	PREP	『PREP』
013510	G3588	T-GPM	『T-GPM』
013511	G4228	N-GPM	『N-GPM』
013512	G4771	P-2GS	『P-2GS』
013513	G1487	CONJ	『CONJ』
013514	G3767	CONJ	『CONJ』
013515	G1138	N-NSM-P	『N-NSM-P』
013516	G2564	V-PAI-3S	『V-PAI-3S』
013517	G846	P-ASM	『P-ASM』
013518	G2962	N-ASM	『N-ASM』
013519	G4459	ADV	『ADV』
013520	G5207	N-NSM	『N-NSM』
013521	G846	P-GSM	『P-GSM』
013522	G1510	V-PAI-3S	『V-PAI-3S』
013523	G2532	CONJ	『CONJ』
013524	G3762	A-NSM	『A-NSM』
013525	G1410	V-INI-3S	『V-INI-3S』
013526	G611	V-AON	『V-AON』
013527	G846	P-DSM	『P-DSM』
013528	G3056	N-ASM	『N-ASM』
013529	G3761	CONJ-N	『CONJ-N』
013530	G5111	V-AAI-3S	『V-AAI-3S』
013531	G5100	X-NSM	『X-NSM』
013532	G575	PREP	『PREP』
013533	G1565	D-GSF	『D-GSF』
013534	G3588	T-GSF	『T-GSF』
013535	G2250	N-GSF	『N-GSF』
013536	G1905	V-AAN	『V-AAN』
013537	G846	P-ASM	『P-ASM』
013538	G3765	ADV	『ADV』
013539	G5119	ADV	『ADV』
013540	G3588	T-NSM	『T-NSM』
013541	G2424	N-NSM-P	『N-NSM-P』
013542	G2980	V-AAI-3S	『V-AAI-3S』
013543	G3588	T-DPM	『T-DPM』
013544	G3793	N-DPM	『N-DPM』
013545	G2532	CONJ	『CONJ』
013546	G3588	T-DPM	『T-DPM』
013547	G3101	N-DPM	『N-DPM』
013548	G846	P-GSM	『P-GSM』
013549	G3004	V-PAP-NSM	『V-PAP-NSM』
013550	G1909	PREP	『PREP』
013551	G3588	T-GSF	『T-GSF』
013552	G3475	N-GSM-P	『N-GSM-P』
013553	G2515	N-GSF	『N-GSF』
013554	G2523	V-AAI-3P	『V-AAI-3P』
013555	G3588	T-NPM	『T-NPM』
013556	G1122	N-NPM	『N-NPM』
013557	G2532	CONJ	『CONJ』
013558	G3588	T-NPM	『T-NPM』
013559	G5330	N-NPM-T	『N-NPM-T』
013560	G3956	A-APN	『A-APN』
013561	G3767	CONJ	『CONJ』
013562	G3745	K-APN	『K-APN』
013563	G1437	PRT	『PRT』
013564	G2036	V-2AAS-3P	『V-2AAS-3P』
013565	G4771	P-2DP	『P-2DP』
013566	G4160	V-AAM-2P	『V-AAM-2P』
013567	G2532	CONJ	『CONJ』
013568	G5083	V-PAM-2P	『V-PAM-2P』
013569	G2596	PREP	『PREP』
013570	G1161	CONJ	『CONJ』
013571	G3588	T-APN	『T-APN』
013572	G2041	N-APN	『N-APN』
013573	G846	P-GPM	『P-GPM』
013574	G3361	PRT-N	『PRT-N』
013575	G4160	V-PAM-2P	『V-PAM-2P』
013576	G3004	V-PAI-3P	『V-PAI-3P』
013577	G1063	CONJ	『CONJ』
013578	G2532	CONJ	『CONJ』
013579	G3756	PRT-N	『PRT-N』
013580	G4160	V-PAI-3P	『V-PAI-3P』
013581	G1195	V-PAI-3P	『V-PAI-3P』
013582	G1161	CONJ	『CONJ』
013583	G5413	N-APN	『N-APN』
013584	G926	A-APN	『A-APN』
013585	G2532	CONJ	『CONJ』
013586	G1419	A-APN	『A-APN』
013587	G2532	CONJ	『CONJ』
013588	G2007	V-PAI-3P	『V-PAI-3P』
013589	G1909	PREP	『PREP』
013590	G3588	T-APM	『T-APM』
013591	G5606	N-APM	『N-APM』
013592	G3588	T-GPM	『T-GPM』
013593	G444	N-GPM	『N-GPM』
013594	G846	P-NPM	『P-NPM』
013595	G1161	CONJ	『CONJ』
013596	G3588	T-DSM	『T-DSM』
013597	G1147	N-DSM	『N-DSM』
013598	G846	P-GPM	『P-GPM』
013599	G3756	PRT-N	『PRT-N』
013600	G2309	V-PAI-3P	『V-PAI-3P』
013601	G2795	V-AAN	『V-AAN』
013602	G846	P-APN	『P-APN』
013603	G3956	A-APN	『A-APN』
013604	G1161	CONJ	『CONJ』
013605	G3588	T-APN	『T-APN』
013606	G2041	N-APN	『N-APN』
013607	G846	P-GPM	『P-GPM』
013608	G4160	V-PAI-3P	『V-PAI-3P』
013609	G4314	PREP	『PREP』
013610	G3588	T-ASN	『T-ASN』
013611	G2300	V-APN	『V-APN』
013612	G3588	T-DPM	『T-DPM』
013613	G444	N-DPM	『N-DPM』
013614	G4115	V-PAI-3P	『V-PAI-3P』
013615	G1063	CONJ	『CONJ』
013616	G3588	T-APN	『T-APN』
013617	G5440	N-APN	『N-APN』
013618	G846	P-GPM	『P-GPM』
013619	G2532	CONJ	『CONJ』
013620	G3170	V-PAI-3P	『V-PAI-3P』
013621	G3588	T-APN	『T-APN』
013622	G2899	N-APN	『N-APN』
013623	G5368	V-PAI-3P	『V-PAI-3P』
013624	G1161	CONJ	『CONJ』
013625	G3588	T-ASF	『T-ASF』
013626	G4411	N-ASF	『N-ASF』
013627	G1722	PREP	『PREP』
013628	G3588	T-DPN	『T-DPN』
013629	G1173	N-DPN	『N-DPN』
013630	G2532	CONJ	『CONJ』
013631	G3588	T-APF	『T-APF』
013632	G4410	N-APF	『N-APF』
013633	G1722	PREP	『PREP』
013634	G3588	T-DPF	『T-DPF』
013635	G4864	N-DPF	『N-DPF』
013636	G2532	CONJ	『CONJ』
013637	G3588	T-APM	『T-APM』
013638	G783	N-APM	『N-APM』
013639	G1722	PREP	『PREP』
013640	G3588	T-DPF	『T-DPF』
013641	G58	N-DPF	『N-DPF』
013642	G2532	CONJ	『CONJ』
013643	G2564	V-PPN	『V-PPN』
013644	G5259	PREP	『PREP』
013645	G3588	T-GPM	『T-GPM』
013646	G444	N-GPM	『N-GPM』
013647	G4461	HEB-T	『HEB-T』
013648	G4771	P-2NP	『P-2NP』
013649	G1161	CONJ	『CONJ』
013650	G3361	PRT-N	『PRT-N』
013651	G2564	V-APS-2P	『V-APS-2P』
013652	G4461	HEB-T	『HEB-T』
013653	G1520	A-NSM	『A-NSM』
013654	G1063	CONJ	『CONJ』
013655	G1510	V-PAI-3S	『V-PAI-3S』
013656	G4771	P-2GP	『P-2GP』
013657	G3588	T-NSM	『T-NSM』
013658	G1320	N-NSM	『N-NSM』
013659	G3956	A-NPM	『A-NPM』
013660	G1161	CONJ	『CONJ』
013661	G4771	P-2NP	『P-2NP』
013662	G80	N-NPM	『N-NPM』
013663	G1510	V-PAI-2P	『V-PAI-2P』
013664	G2532	CONJ	『CONJ』
013665	G3962	N-ASM	『N-ASM』
013666	G3361	PRT-N	『PRT-N』
013667	G2564	V-AAS-2P	『V-AAS-2P』
013668	G4771	P-2GP	『P-2GP』
013669	G1909	PREP	『PREP』
013670	G3588	T-GSF	『T-GSF』
013671	G1093	N-GSF	『N-GSF』
013672	G1520	A-NSM	『A-NSM』
013673	G1063	CONJ	『CONJ』
013674	G1510	V-PAI-3S	『V-PAI-3S』
013675	G4771	P-2GP	『P-2GP』
013676	G3588	T-NSM	『T-NSM』
013677	G3962	N-NSM	『N-NSM』
013678	G3588	T-NSM	『T-NSM』
013679	G3770	A-NSM	『A-NSM』
013680	G3366	CONJ	『CONJ』
013681	G2564	V-APS-2P	『V-APS-2P』
013682	G2519	N-NPM	『N-NPM』
013683	G3754	CONJ	『CONJ』
013684	G2519	N-NSM	『N-NSM』
013685	G4771	P-2GP	『P-2GP』
013686	G1510	V-PAI-3S	『V-PAI-3S』
013687	G1520	A-NSM	『A-NSM』
013688	G3588	T-NSM	『T-NSM』
013689	G5547	N-NSM-T	『N-NSM-T』
013690	G3588	T-NSM	『T-NSM』
013691	G1161	CONJ	『CONJ』
013692	G3173	A-NSM-C	『A-NSM-C』
013693	G4771	P-2GP	『P-2GP』
013694	G1510	V-FDI-3S	『V-FDI-3S』
013695	G4771	P-2GP	『P-2GP』
013696	G1249	N-NSM	『N-NSM』
013697	G3748	R-NSM	『R-NSM』
013698	G1161	CONJ	『CONJ』
013699	G5312	V-FAI-3S	『V-FAI-3S』
013700	G1438	F-3ASM	『F-3ASM』
013701	G5013	V-FPI-3S	『V-FPI-3S』
013702	G2532	CONJ	『CONJ』
013703	G3748	R-NSM	『R-NSM』
013704	G5013	V-FAI-3S	『V-FAI-3S』
013705	G1438	F-3ASM	『F-3ASM』
013706	G5312	V-FPI-3S	『V-FPI-3S』
013707	G3759	INJ	『INJ』
013708	G1161	CONJ	『CONJ』
013709	G4771	P-2DP	『P-2DP』
013710	G1122	N-VPM	『N-VPM』
013711	G2532	CONJ	『CONJ』
013712	G5330	N-VPM-T	『N-VPM-T』
013713	G5273	N-VPM	『N-VPM』
013714	G3754	CONJ	『CONJ』
013715	G2808	V-PAI-2P	『V-PAI-2P』
013716	G3588	T-ASF	『T-ASF』
013717	G932	N-ASF	『N-ASF』
013718	G3588	T-GPM	『T-GPM』
013719	G3772	N-GPM	『N-GPM』
013720	G1715	PREP	『PREP』
013721	G3588	T-GPM	『T-GPM』
013722	G444	N-GPM	『N-GPM』
013723	G4771	P-2NP	『P-2NP』
013724	G1063	CONJ	『CONJ』
013725	G3756	PRT-N	『PRT-N』
013726	G1525	V-PNI-2P	『V-PNI-2P』
013727	G3761	CONJ-N	『CONJ-N』
013728	G3588	T-APM	『T-APM』
013729	G1525	V-PNP-APM	『V-PNP-APM』
013730	G863	V-PAI-2P	『V-PAI-2P』
013731	G1525	V-2AAN	『V-2AAN』
013732	G3759	INJ	『INJ』
013733	G4771	P-2DP	『P-2DP』
013734	G1122	N-VPM	『N-VPM』
013735	G2532	CONJ	『CONJ』
013736	G5330	N-VPM-T	『N-VPM-T』
013737	G5273	N-VPM	『N-VPM』
013738	G3754	CONJ	『CONJ』
013739	G4013	V-PAI-2P	『V-PAI-2P』
013740	G3588	T-ASF	『T-ASF』
013741	G2281	N-ASF	『N-ASF』
013742	G2532	CONJ	『CONJ』
013743	G3588	T-ASF	『T-ASF』
013744	G3584	A-ASF	『A-ASF』
013745	G4160	V-AAN	『V-AAN』
013746	G1520	A-ASM	『A-ASM』
013747	G4339	N-ASM	『N-ASM』
013748	G2532	CONJ	『CONJ』
013749	G3752	CONJ	『CONJ』
013750	G1096	V-2ADS-3S	『V-2ADS-3S』
013751	G4160	V-PAI-2P	『V-PAI-2P』
013752	G846	P-ASM	『P-ASM』
013753	G5207	N-ASM	『N-ASM』
013754	G1067	N-GSF-T	『N-GSF-T』
013755	G1362	A-ASM-C	『A-ASM-C』
013756	G4771	P-2GP	『P-2GP』
013757	G3759	INJ	『INJ』
013758	G4771	P-2DP	『P-2DP』
013759	G3595	N-VPM	『N-VPM』
013760	G5185	A-VPM	『A-VPM』
013761	G3588	T-VPM	『T-VPM』
013762	G3004	V-PAP-VPM	『V-PAP-VPM』
